 장애인화장실명(역명) , 장애인화장실 상세위치 
 잠실역, B1층 11번 출구 옆 
 석촌역, 대합실 B1층 게이트 옆 
 송파역, 대합실 B1층 1번출구 방향 
 가락시장역,  B1층 대합실과 가락몰 연결통로 사이 
 문정역, 대합실 B1층 2번출구 방향 
 장지역," 대합실 B1층 3,4번출구 방면  "
 복정역, 대합실 지하1층 아이센터 근처 
 남위례역, 대합실 지상2층 주출입구 근처 
 산성역," B1층 1,2번 출구 계단 오른쪽 "
 남한산성입구역, 대합실 지하2층 에스컬레이터 근처 
 단대오거리역, 대합실 지하1층 2호기E/V 옆 
 신흥역," B1층 대합실 1,2번 출구방면 "
 수진역, 대합실 지하1층 편의점 옆 
 모란역, B2층 대합실 상행 E/S 옆 
